Player,Matched_Sentence
Allen Iverson,This incident and its impact on the community is explored in the documentary film No Crossover: The Trial of Allen Iverson.
Allen Iverson,"However, the three years Iverson spent at Bethel were enough to convince Georgetown University head coach John Thompson to come out and meet Iverson, and offer him a full scholarship to join the Georgetown Hoyas basketball team."
Allen Iverson,"In the 2000 off-season, the 76ers actively tried to trade Iverson after his numerous disagreements with then-coach Larry Brown, and had agreed to terms with the Detroit Pistons before Matt Geiger, who was included in the deal, refused to forfeit his $5 million trade kicker."
Allen Iverson,"In this role, he is involved in player recruitment, community initiatives, and athlete activations, working alongside Shaquille O’Neal, who serves as Reebok's president of basketball."
Allen Iverson,He pleaded no contest and was sentenced to community service.
Allen Iverson,"In August 2011, an Ohio man sued Iverson for $2.5 million in damages, claiming Iverson's security guard assaulted him in a 2009 bar fight in Detroit."
Bill Russell,"After Russell was cut from the junior varsity basketball team as a junior in high school, Powles gave him a spot on the varsity team and bought him a yearlong community center membership."
Bill Russell,"Sports journalist John Taylor described the scholarship offer as a watershed event in Russell's life because Russell realized that basketball was his chance to escape poverty and racism, and he swore to make the best of it."
Bill Russell,"With the added defensive presence of Russell, the Celtics had laid the foundation for a dynasty, as the team utilized a strong defensive approach to the game, forcing opposing teams to commit many turnovers, which led to many easy points on fast breaks."
Bill Russell,"The Bill Russell Legacy Foundation, established by the Boston Celtics Shamrock Foundation, funded the project."
Bill Russell,"In its announcement, the WCC stated: ""The 'Russell Rule' requires each member institution to include a member of a traditionally underrepresented community in the pool of final candidates for every athletic director, senior administrator, head coach and full-time assistant coach position in the athletic department."""
Bob Pettit,"After high school, Pettit had scholarship offers from 14 universities and accepted a scholarship to play at nearby Louisiana State University (LSU)."
Carmelo Anthony,"After the season, Anthony signed a 5-year, $80 million extension with the Nuggets."
Carmelo Anthony,"Anthony immediately signed a three-year, $65 million extension through the 2014–15 season and chose to wear number 7 with the Knicks, as his former number 15 was retired by the Knicks in honor of Earl Monroe and Dick McGuire."
Carmelo Anthony,"The trade was widely seen as a cost-cutting move, as it saved the Thunder tens of millions of dollars in luxury tax payments."
Carmelo Anthony,This trade allowed the Rockets to alleviate luxury-tax penalties up to $2.6 million.
Carmelo Anthony,"(Holding Our Own Destiny) Movement 3 on 3 Challenge"" and is helping fund the revitalization of a local community center for local youth."
Carmelo Anthony,"He contributed $1.5 million to the Living Classrooms Foundation, a non-profit organization that ""provides innovative hands-on-education, job-training, and community service programs for over 35,000 children, youth and young adults in the east Baltimore community."""
Carmelo Anthony,"After the tsunami caused by the 2004 Indian Ocean earthquake, Anthony donated $35,000 to relief efforts."
Carmelo Anthony,"He donated $1,000 per point scored against San Antonio and Houston on January 8 and 9, 2005, respectively."
Carmelo Anthony,"Anthony also committed $3 million toward the construction of a newly planned basketball practice facility at his alma mater, Syracuse University."
Carmelo Anthony,"In 2003, Anthony signed his first shoe deal with Jordan brand and was paid $3.5 million per year for six years."
Carmelo Anthony,"Despite the financial recession in Puerto Rico, Anthony saw this opportunity as a form of community outreach, as well as a long-term investment in a club that could ultimately be profitable."
Charles Barkley,"He said, ""A million guys can dunk a basketball in jail; should they be role models?"""
Charles Barkley,The winner was to choose a charity to which the money would be donated.
Charles Barkley,His wife is an honorary member of the Phoenix-based Fresh Start Women's Foundation organization.
Charles Barkley,"In a 2007 interview with ESPN's Trey Wingo, Barkley revealed that he had lost approximately $10 million through gambling."
Charles Barkley,"In addition, he also admitted to losing $2.5 million ""in a six-hour period"" while playing blackjack."
Charles Barkley,"In 2022, a video surfaced of Barkley speaking at an event where he made comments vehemently in favor of the LGBTQ community: ""I want to say this."
Chris Paul,"On July 7, 2024, Paul signed a one-year, $11 million deal with the San Antonio Spurs."
Chris Paul,"You can build a new arena, you can be at games, you can cheer on the team, you're gonna have all this high energy but at the end of the day an organization is built on a foundation of respect and it's built on how you treat people and I don't think that in this situation Chris was treated right."
Chris Paul,"The family lives in a Mediterranean-style mansion in Bel Air, which Paul bought from Avril Lavigne for $8.5 million in 2012."
Chris Paul,"He has hosted and participated in numerous celebrity and youth bowling events as the head of the CP3 Foundation, which benefits programs in Louisiana affected by Hurricane Katrina, as well as charities in Winston-Salem."
David Robinson,"In 2001, Robinson founded and funded the $9 million Carver Academy in San Antonio, a non-profit private school named for George Washington Carver to provide more opportunities for inner-city children."
